94,49,105,49,105,50,93,50,44,32,133,32,133,128,47,128,664
93,56,102,56,102,57,68,57,44,32,133,32,133,128,47,128,204
8,95,29,95,29,96,0,96,12,80,87,80,87,170,0,170,141
2,13,10,13,10,16,0,16,3,2,62,2,62,50,0,50,709
13,58,68,58,68,59,67,59,26,11,107,11,107,109,28,109,309
16,41,52,41,52,42,25,42,26,11,107,11,107,109,28,109,437
69,52,126,52,126,53,120,53,44,32,133,32,133,128,47,128,489
7,56,10,56,10,61,0,61,1,47,79,47,79,128,0,128,446
29,61,64,61,64,62,27,62,26,11,107,11,107,109,28,109,734
17,66,27,66,27,68,0,68,1,47,79,47,79,128,0,128,640
45,97,61,97,61,98,0,98,26,11,107,11,107,109,28,109,422
3,52,58,52,58,53,34,53,26,11,107,11,107,109,28,109,330
55,12,70,12,70,14,39,14,26,11,107,11,107,109,28,109,983
23,26,36,26,36,30,23,30,26,11,107,11,107,109,28,109,905
17,56,40,56,40,59,25,59,16,9,100,9,100,103,36,103,366
69,92,155,92,155,93,119,93,62,74,144,74,144,169,61,169,564
11,44,34,44,34,48,26,48,26,13,93,13,93,102,10,102,971
46,70,106,70,106,71,35,71,44,32,133,32,133,128,47,128,715
56,95,67,95,67,101,56,101,44,32,133,32,133,128,47,128,172
79,64,94,64,94,71,90,71,44,32,133,32,133,128,47,128,819
74,75,116,75,116,78,112,78,44,32,133,32,133,128,47,128,44
10,63,17,63,17,69,0,69,1,47,79,47,79,128,0,128,772
18,81,83,81,83,82,2,82,26,11,107,11,107,109,28,109,157
67,94,94,94,94,97,64,97,44,32,133,32,133,128,47,128,587
67,24,95,24,95,26,35,26,26,11,107,11,107,109,28,109,656
59,30,101,30,101,34,99,34,26,11,107,11,107,109,28,109,955
22,76,35,76,35,83,22,83,17,53,84,53,84,150,8,150,781
5,50,21,50,21,55,0,55,1,47,79,47,79,128,0,128,935
15,37,54,37,54,41,46,41,26,11,107,11,107,109,28,109,169
83,39,154,39,154,41,130,41,79,19,169,19,169,106,83,106,808
98,99,124,99,124,101,54,101,44,32,133,32,133,128,47,128,419
89,68,137,68,137,70,89,70,44,32,133,32,133,128,47,128,421
90,97,99,97,99,100,42,100,44,32,133,32,133,128,47,128,59
80,28,97,28,97,35,85,35,26,11,107,11,107,109,28,109,136
29,92,84,92,84,94,35,94,44,32,133,32,133,128,47,128,445
13,33,29,33,29,38,0,38,12,16,78,16,78,102,0,102,736
84,26,144,26,144,29,126,29,79,19,169,19,169,106,83,106,276
52,75,53,75,53,82,20,82,26,11,107,11,107,109,28,109,610
97,94,146,94,146,96,75,96,44,32,133,32,133,128,47,128,281
21,75,100,75,100,78,98,78,44,32,133,32,133,128,47,128,936
11,17,15,17,15,30,0,30,4,15,59,15,59,113,0,113,412
83,59,144,59,144,63,139,63,79,19,169,19,169,106,83,106,497
56,88,57,88,57,177,55,177,12,80,87,80,87,170,0,170,490
3,39,42,39,42,45,35,45,16,9,100,9,100,103,36,103,109
22,10,87,10,87,13,59,13,48,1,145,1,145,93,80,93,843
26,33,32,33,32,59,27,59,26,11,107,11,107,109,28,109,716
31,8,88,8,88,11,47,11,48,1,145,1,145,93,80,93,577
95,94,102,94,102,98,34,98,44,32,133,32,133,128,47,128,111
98,50,135,50,135,56,121,56,44,32,133,32,133,128,47,128,284
28,10,123,10,123,12,62,12,48,1,145,1,145,93,80,93,870
22,72,25,72,25,84,0,84,25,27,90,27,90,114,2,114,212
52,38,129,38,129,40,34,40,44,32,133,32,133,128,47,128,391
25,47,38,47,38,72,37,72,26,11,107,11,107,109,28,109,539
16,18,43,18,43,23,0,23,16,9,100,9,100,103,36,103,573
30,20,117,20,117,23,86,23,26,11,107,11,107,109,28,109,299
26,24,111,24,111,26,18,26,26,11,107,11,107,109,28,109,862
51,22,67,22,67,34,53,34,26,11,107,11,107,109,28,109,740
15,64,26,64,26,74,0,74,1,47,79,47,79,128,0,128,254
58,16,67,16,67,41,61,41,26,11,107,11,107,109,28,109,892
7,67,16,67,16,83,0,83,1,47,79,47,79,128,0,128,624
72,66,87,66,87,70,0,70,44,32,133,32,133,128,47,128,606
1,53,52,53,52,57,0,57,1,47,79,47,79,128,0,128,796
83,43,169,43,169,47,147,47,79,19,169,19,169,106,83,106,551
52,71,85,71,85,78,56,78,44,32,133,32,133,128,47,128,777
16,4,52,4,52,15,48,15,20,5,71,5,71,103,37,103,45
57,18,111,18,111,23,76,23,26,11,107,11,107,109,28,109,842
48,30,115,30,115,36,106,36,26,11,107,11,107,109,28,109,168
88,84,144,84,144,91,133,91,62,74,144,74,144,169,61,169,441
14,23,22,23,22,39,0,39,12,16,78,16,78,102,0,102,34
92,31,173,31,173,35,134,35,79,19,169,19,169,106,83,106,589
96,1,141,1,141,5,66,5,48,1,145,1,145,93,80,93,924
67,53,73,53,73,67,44,67,44,32,133,32,133,128,47,128,825
49,19,57,19,57,48,48,48,26,11,107,11,107,109,28,109,85
62,7,77,7,77,15,30,15,48,1,145,1,145,93,80,93,253
16,76,26,76,26,94,8,94,12,80,87,80,87,170,0,170,372
66,73,81,73,81,105,80,105,44,32,133,32,133,128,47,128,950
94,56,112,56,112,82,110,82,44,32,133,32,133,128,47,128,513
6,45,45,45,45,53,17,53,26,13,93,13,93,102,10,102,470
54,88,118,88,118,96,111,96,44,32,133,32,133,128,47,128,269
49,6,60,6,60,26,42,26,26,11,107,11,107,109,28,109,582
39,95,52,95,52,104,0,104,12,80,87,80,87,170,0,170,317
87,89,131,89,131,98,109,98,44,32,133,32,133,128,47,128,775
42,42,47,42,47,108,43,108,26,11,107,11,107,109,28,109,829
50,12,72,12,72,38,71,38,26,11,107,11,107,109,28,109,348
34,28,66,28,66,35,12,35,26,11,107,11,107,109,28,109,562
33,31,115,31,115,35,43,35,26,11,107,11,107,109,28,109,475
1,69,63,69,63,74,0,74,17,53,84,53,84,150,8,150,871
45,54,127,54,127,58,51,58,44,32,133,32,133,128,47,128,224
47,66,133,66,133,71,92,71,44,32,133,32,133,128,47,128,70
49,51,115,51,115,57,70,57,44,32,133,32,133,128,47,128,352
20,5,38,5,38,17,0,17,6,8,56,8,56,89,0,89,724
11,76,12,76,12,130,0,130,1,47,79,47,79,128,0,128,231
48,2,53,2,53,66,47,66,26,11,107,11,107,109,28,109,484
6,44,7,44,7,133,0,133,1,47,79,47,79,128,0,128,389
38,32,64,32,64,40,0,40,26,11,107,11,107,109,28,109,274
27,38,28,38,28,63,0,63,1,47,79,47,79,128,0,128,675
61,10,100,10,100,24,87,24,26,11,107,11,107,109,28,109,9
47,99,98,99,98,113,97,113,44,32,133,32,133,128,47,128,198
93,64,98,64,98,72,10,72,44,32,133,32,133,128,47,128,521
75,38,90,38,90,50,43,50,44,32,133,32,133,128,47,128,859
56,14,101,14,101,26,84,26,26,11,107,11,107,109,28,109,968
12,50,67,50,67,57,13,57,26,11,107,11,107,109,28,109,112
94,41,97,41,97,55,45,55,44,32,133,32,133,128,47,128,693
31,17,85,17,85,23,10,23,26,11,107,11,107,109,28,109,154
33,2,38,2,38,20,0,20,6,8,56,8,56,89,0,89,614
88,49,104,49,104,60,49,60,44,32,133,32,133,128,47,128,227
16,90,19,90,19,126,0,126,12,80,87,80,87,170,0,170,697
29,74,74,74,74,89,66,89,44,32,133,32,133,128,47,128,201
97,99,110,99,110,113,64,113,44,32,133,32,133,128,47,128,377
12,86,17,86,17,124,0,124,12,80,87,80,87,170,0,170,165
18,50,47,50,47,61,0,61,26,13,93,13,93,102,10,102,418
66,93,149,93,149,99,92,99,44,32,133,32,133,128,47,128,5
5,32,33,32,33,55,24,55,12,16,78,16,78,102,0,102,579
20,85,105,85,105,93,83,93,44,32,133,32,133,128,47,128,762
89,47,150,47,150,56,115,56,79,19,169,19,169,106,83,106,110
7,34,57,34,57,50,52,50,26,11,107,11,107,109,28,109,754
97,16,140,16,140,29,115,29,79,19,169,19,169,106,83,106,814
6,74,28,74,28,92,0,92,25,27,90,27,90,114,2,114,77
25,28,41,28,41,50,16,50,26,11,107,11,107,109,28,109,608
30,80,50,80,50,93,0,93,12,80,87,80,87,170,0,170,811
54,85,86,85,86,96,35,96,44,32,133,32,133,128,47,128,184
87,66,95,66,95,120,86,120,44,32,133,32,133,128,47,128,622
21,37,22,37,22,77,0,77,1,47,79,47,79,128,0,128,66
97,41,108,41,108,74,91,74,44,32,133,32,133,128,47,128,333
44,77,124,77,124,84,68,84,44,32,133,32,133,128,47,128,188
39,89,75,89,75,105,51,105,44,32,133,32,133,128,47,128,534
41,51,103,51,103,57,5,57,44,32,133,32,133,128,47,128,993
36,23,62,23,62,34,0,34,26,11,107,11,107,109,28,109,519
67,42,83,42,83,99,82,99,44,32,133,32,133,128,47,128,795
65,36,79,36,79,49,18,49,44,32,133,32,133,128,47,128,630
1,18,64,18,64,30,44,30,26,11,107,11,107,109,28,109,858
66,13,97,13,97,41,92,41,26,11,107,11,107,109,28,109,525
47,42,95,42,95,62,92,62,44,32,133,32,133,128,47,128,520
